WellId,WellValueA,WellValueB,WellValueC,WellExpensesA,WellExpensesB,WellExpensesC,WellRankA,WellRankB,WellRankC,WellGroupCode,IsValidCode,OptimalBuyingMonth,OptimalSellingMonth
28,587,865,212,0,55,38,15492,1369,1462,gagbaea,0,5,9
29,497,662,937,90,33,78,18132,13548,9453,bgbcdae,1,4,6
30,870,500,190,0,73,0,6117,14547,1846,efbabcf,1,5,8
31,442,429,536,78,0,64,13861,16824,2289,agbbebc,1,6,10
32,582,685,518,0,0,80,10985,819,18152,ffdgcdd,0,5,10
33,412,852,458,98,25,55,13147,13570,755,ehbfdbb,1,7,10
34,499,11,858,19,0,76,1749,18246,11118,agcaefe,1,5,7
35,788,126,772,21,101,78,4867,19749,19442,aegahhf,1,5,7
36,226,926,935,0,0,58,6102,12005,5229,afdddac,0,5,6
37,991,101,88,23,0,77,15994,10827,3928,dfbfhfd,0,9,11
38,346,705,264,56,20,34,9225,11471,19661,gfhdgdc,1,1,11
39,611,187,324,72,0,0,1023,781,13339,dhhahhe,0,7,9
40,961,295,965,90,61,31,8652,13814,13390,heheedh,0,7,11
41,710,252,196,0,0,59,11419,13848,16390,eghdbhd,1,0,7
42,406,79,886,74,77,0,12969,11459,17477,aedfgge,1,4,6
43,59,30,638,69,64,57,9642,11322,3691,ahehgcb,1,8,11
44,998,203,864,0,68,0,580,19199,1862,fdheadb,1,4,11
45,264,284,678,0,31,21,12779,13653,9653,hhffbgb,0,4,7
46,332,48,225,66,0,30,19483,7432,1244,ecahdbd,1,7,8
47,433,783,595,79,0,20,13039,18347,7317,dfdadce,1,5,9
48,102,137,671,0,18,32,9272,13748,17832,gabfedf,1,4,9
49,255,736,730,93,33,91,5972,19740,19347,gdafacd,1,8,10
50,413,753,745,0,71,90,14848,4579,6963,bgaaccb,0,2,7
51,870,632,248,92,58,35,2263,14485,18012,dfghdeg,1,7,10
52,231,813,430,62,0,70,4508,17475,19357,cfaebcg,1,7,8
53,445,581,181,78,0,29,8824,14048,6899,caedfbf,1,4,5
54,147,385,257,0,21,0,17296,7048,2346,hdcddfb,1,4,5
55,122,463,291,0,66,97,12341,18755,12925,fcfahdg,1,3,4
56,258,16,381,35,92,28,13063,11451,5333,fahaheb,1,1,7
57,144,827,808,36,0,0,19275,520,3820,eecfhha,1,2,6
58,61,522,449,76,0,38,4227,13975,5574,chgbcgd,1,6,8
59,207,527,378,90,70,0,10003,18844,1173,ebagfgc,1,8,10
60,854,857,181,89,0,90,11168,7854,12850,ehgbffe,1,0,1
61,767,208,764,0,0,24,3767,7691,9796,dehbcga,1,1,3
62,478,241,911,0,58,59,13503,3187,11223,aehcdef,1,5,7
63,873,655,773,92,75,98,3383,7891,624,bfeaaeg,1,3,5
64,461,905,779,0,91,0,8836,8007,13275,acfhcff,0,2,3
65,924,771,888,100,0,31,9897,990,13937,ccbgfah,1,5,10
66,102,503,604,27,69,23,2945,1189,17956,eeehfda,1,4,6
67,719,467,556,0,16,0,1091,10151,13462,dbgeccf,1,10,11
68,35,987,683,21,0,98,5880,4431,4468,bcefgeb,1,3,11
69,87,395,400,0,0,0,12483,11758,17228,abfgeff,1,6,7
70,951,495,731,99,0,100,12490,9118,10041,cddgagf,1,5,7
71,50,307,855,21,56,19,11316,4824,12682,hchedhh,0,10,11
72,864,946,65,28,96,34,16890,5862,19319,hgcdbhg,1,10,11
73,121,577,108,16,75,68,10184,12802,7173,fhcdcae,1,3,11
74,767,95,487,0,75,70,19475,19538,18892,fbfbdeh,1,8,11
75,553,656,414,0,77,27,16818,15506,8628,ahabdhc,1,1,6
76,594,150,61,29,0,32,16028,4401,1197,efafche,1,2,10
77,358,892,85,78,24,57,15654,17581,7848,ghdaaeh,1,5,9
78,419,179,689,0,77,0,5989,19639,6831,ffgffhb,0,3,5
79,432,930,198,0,56,0,9216,7169,19598,cebfcdb,1,3,11
80,806,969,642,32,22,90,6769,7755,12660,bcgcgce,0,10,11
81,384,120,86,16,0,0,11025,2751,5115,cgbhgcb,0,7,9
82,907,402,428,101,36,0,10137,1108,11442,dfffebh,1,3,5
83,45,398,803,0,23,70,8029,16361,6705,ehchcff,0,10,11
84,789,812,330,28,0,0,12424,14691,17816,ffddffe,0,0,4
85,461,759,278,26,0,55,5631,9816,18357,eefhgeb,1,9,11
86,832,682,266,63,94,0,10011,13909,15142,dhfcgcg,1,5,6
87,100,228,931,25,39,0,16398,7587,16703,ffdbgfg,0,8,10
88,353,803,898,71,36,31,788,13526,15473,ghgggdg,0,4,7
89,81,966,204,97,15,16,10098,13486,10238,fabafgf,0,1,7
90,608,139,310,0,0,35,18077,1694,9351,abcgadb,1,2,7
91,626,672,737,29,92,55,5117,12870,2075,hfeaead,1,5,6
92,36,966,785,35,0,23,17984,19391,6513,hhbafed,1,1,3
93,745,190,121,25,0,68,17617,13993,7713,dcfafbh,1,10,11
94,19,15,475,27,99,0,15647,8188,11058,fbadghg,1,6,11
95,500,613,860,69,0,79,12218,19575,17931,fdgghcd,1,2,9
96,887,805,92,19,101,64,18416,3835,4257,hafafad,0,8,11
97,881,101,11,16,0,56,11516,5796,14965,ecfdfdh,1,0,3
98,408,601,218,33,0,59,1572,12783,15320,bdhdaae,1,5,6
99,614,278,295,80,0,34,10762,15725,17439,aadddah,0,7,10
100,955,971,358,0,98,94,12919,14268,11210,gecfbdb,1,1,9
101,619,127,354,78,25,59,13479,12276,2991,bdfhcfb,1,8,10
102,310,526,184,38,0,78,8387,9977,18556,bdbacdd,0,8,9
103,582,277,613,0,0,0,13593,10504,12604,dcdbghc,1,8,9
104,954,611,506,101,32,90,10224,18118,8650,hdaefdg,1,0,9
105,255,33,504,36,0,23,3366,16507,16131,hfaafbg,1,8,9
106,180,150,728,39,58,26,9899,15985,4648,ccdbfbh,1,4,8
107,416,411,671,23,71,22,6670,1434,12540,cggbced,1,8,11
108,531,277,641,96,24,29,8638,3828,12830,bdfadaa,0,5,11
109,964,115,54,89,30,93,8661,13318,9713,dgaffdc,1,1,3
110,279,145,998,0,92,99,10598,1988,8963,cefhbga,1,3,7
111,162,812,562,16,0,96,16793,17672,3915,bebebhd,0,10,11
112,759,222,572,90,63,37,3380,12314,15812,geaecfd,1,9,10
113,647,921,636,63,56,32,17945,14007,5844,aeahffa,0,1,10
114,639,555,967,0,0,66,14744,773,4543,ecechbb,0,7,9
115,634,509,728,0,64,0,12276,15755,4755,hdegceh,1,6,8
116,677,802,977,57,61,35,6136,2193,18555,hhfchea,1,8,11
117,638,896,978,34,0,0,15151,17361,6848,cfhfffc,0,1,11
118,272,701,496,35,0,80,4541,17922,17566,dbaeffc,1,8,11
119,690,968,546,35,90,18,2439,15502,2354,bcbegha,1,6,10
120,507,789,40,22,90,0,2780,17776,19631,gcgfddc,0,5,10
121,232,105,877,20,27,30,6347,16670,10696,ccdecbc,0,0,9
122,303,856,66,68,68,0,13436,2165,12462,eghghcc,0,0,10
123,284,373,898,0,0,73,6203,12623,516,ccbdggg,0,0,6
124,412,127,505,75,99,0,11162,1979,7363,gababaf,0,9,11
125,929,463,820,0,23,0,16823,798,11109,addcege,1,8,9
126,273,704,608,0,63,0,7157,4663,13367,adbdbhh,0,10,11
127,483,955,292,27,55,0,7519,2197,5063,cgehhfa,1,2,10
128,567,880,618,77,37,94,6519,11150,14497,bhefhad,1,1,5
129,698,343,517,17,0,35,13076,6664,17515,fbcccbh,0,6,7
130,824,184,562,0,31,67,1351,9841,17096,bedhebf,1,7,11
131,491,397,162,100,89,66,5978,18857,5800,gbcdhed,1,1,2
132,961,865,935,0,0,61,14199,9959,1417,bgfgdfd,0,9,11
133,771,232,245,35,93,30,12684,12183,932,fdacdef,1,1,2
134,539,770,51,0,92,28,12759,11147,14307,acedhda,1,0,10
135,157,689,412,93,36,34,1624,11137,14005,edabefa,1,3,10
136,915,782,626,0,0,37,10418,13598,10354,hbbggad,1,2,7
137,912,215,886,0,64,63,9038,11730,19147,dadaced,0,3,10
138,106,629,426,27,0,72,11763,14388,14418,ebahahf,1,7,11
139,493,947,642,0,0,0,18863,4205,5897,hhcbfbg,1,6,8
140,57,877,838,0,30,99,1200,4338,2055,badhfcd,1,2,9
141,956,297,744,0,0,26,15708,12692,13314,aefgcbd,1,3,5
142,294,19,200,0,0,62,19214,11687,16745,dggdbhd,0,2,7
143,111,537,16,0,24,17,4297,7778,9053,bbedaha,1,10,11
144,384,888,311,57,22,78,581,12791,7153,ddfbaee,1,2,4
145,256,517,681,0,74,0,10401,14239,18385,fabgfbg,0,1,4
146,366,706,812,64,39,21,3872,17338,14954,cgbgffb,0,7,8
147,880,649,373,0,30,0,2281,16128,9407,hfeaaaa,0,6,7
148,525,569,729,74,0,17,1094,12789,2698,hddbhhc,0,1,5
149,355,310,171,59,27,0,2431,16257,4517,dabfhch,1,1,11
150,88,121,764,0,0,71,5552,16861,11457,aeccfhe,1,9,11
151,733,169,847,94,96,64,11189,18703,18378,dcfbbdd,0,7,8
152,83,174,613,62,0,64,9420,12170,14907,acheeah,0,5,8
153,54,678,280,25,0,0,6554,4016,4487,dbfadeb,1,5,10
154,575,726,645,35,0,69,7222,10950,6752,dfdeffd,0,4,10
155,37,761,110,56,0,59,5274,17384,9022,bagedbh,1,5,6
156,274,104,634,66,0,55,19625,2054,11457,acbedba,1,7,10
157,831,379,442,67,97,97,15109,15843,14684,ghadheg,1,6,10
158,603,232,405,0,0,0,18449,6204,9608,faeeehf,0,10,11
159,24,843,270,0,99,64,9059,12661,1701,ebcacaf,1,3,5
160,203,449,638,0,19,0,1487,4632,5688,gaachhh,0,4,6
161,359,731,462,0,0,20,4201,9163,17936,bbgfhgd,1,0,11
162,498,582,147,66,89,18,10240,668,8027,ghhcdgg,0,1,9
163,214,612,455,19,0,0,1728,7519,1078,beehbba,0,7,8
164,136,370,746,57,63,0,14772,12385,1368,hbhdahf,1,8,9
165,25,381,543,0,0,63,4994,1523,15474,acebgde,1,3,6
166,308,430,666,0,79,57,910,3449,18690,bafabhe,1,8,11
167,761,683,844,0,0,71,17807,19940,17671,aaahgea,0,2,5
168,30,275,849,34,0,58,2143,19254,19714,gfcaggf,0,10,11
169,451,591,719,0,95,28,10050,10572,19906,debgdff,1,4,7
170,31,433,225,57,0,20,5113,16074,2700,fegabee,1,9,11
171,184,321,860,39,30,55,11893,18150,10074,hbgeafb,1,8,9
172,301,387,431,28,0,80,15852,11216,11247,bchafah,1,1,8
173,518,412,233,58,0,18,2750,3420,12736,afdbfde,1,7,10
174,96,453,249,0,93,65,7354,577,9434,hedabae,1,8,11
175,348,470,860,0,56,0,15647,11105,5348,eccedhh,0,0,6
176,216,649,926,93,0,39,988,12723,15431,gagbhec,1,3,11
177,58,716,690,61,0,0,18965,16391,4042,dgacdcb,1,0,4
178,933,46,78,0,18,35,12820,3671,7202,feghcah,1,1,9
179,794,789,29,0,0,29,12165,9027,8780,efbbcef,0,2,4
180,256,198,683,63,21,0,11626,1424,4016,bccahcc,0,6,10
181,68,159,765,0,59,15,7236,8506,3994,aaghcdc,1,4,11
182,423,45,387,0,17,77,17298,9250,11060,hafcgeb,1,1,7
183,690,666,464,0,69,90,6213,17810,6673,agggbfg,0,9,11
184,847,111,816,24,76,24,12492,7222,16150,hchdhhe,0,3,9
185,248,798,859,0,35,19,12442,5462,16619,bacbfeh,1,5,7
186,421,769,501,67,63,0,2521,18886,19614,ceacdhf,1,8,10
187,19,330,99,0,93,0,18425,9369,16995,caafacg,0,5,10
188,68,307,397,0,0,58,12073,17653,5681,geebfdb,1,6,7
189,814,41,40,32,0,91,13917,5027,3068,agdgghf,1,8,9
190,907,40,492,89,65,0,18127,1555,4291,dbgaabc,1,1,10
191,656,736,332,93,80,33,9502,17657,15283,dacaeef,1,6,7
192,727,25,979,0,0,0,6190,15852,19173,gccacga,0,9,10
193,105,140,433,0,0,96,9558,8545,2748,hdgfhgc,1,6,9
194,608,901,880,0,0,79,18141,19508,4459,accheag,1,0,9
195,28,283,495,17,0,80,1407,18225,18713,bhhaefc,1,4,5
196,103,825,295,67,66,0,800,7534,12991,acfcbgh,1,3,7
197,931,967,272,62,0,78,10681,2183,6137,cdaafab,1,7,9
198,175,632,97,29,35,93,17982,18315,13123,bebhdbf,1,5,7
199,789,73,501,0,90,0,3330,14911,19208,ceaaaff,0,7,10
200,328,122,567,38,0,0,1563,15013,17993,bcehada,1,2,3
201,746,23,792,64,62,0,8276,19872,11849,fhgabha,1,3,5
202,403,914,895,0,0,0,1346,13047,16213,behbgab,1,4,5
203,767,182,71,39,0,58,18118,18026,4592,ccaagaf,0,7,11
204,941,131,309,64,30,0,1772,3436,17870,gggcfbc,0,2,4
205,953,238,174,35,80,69,16230,18067,15882,hfccfhb,0,8,11
206,923,481,34,19,0,19,4164,10811,12950,cacgebg,1,0,9
207,768,866,492,0,24,60,2287,8122,19486,fbcegdg,1,4,5
208,589,460,803,0,0,25,2485,17293,990,feahdhg,1,5,10
209,386,342,428,100,72,0,1217,16946,11934,afbdhbh,1,0,4
210,55,584,459,29,95,61,7594,2260,8404,adbhbgg,1,3,6
211,340,166,993,26,26,73,15941,8194,8117,aefchae,1,9,10
212,131,133,648,73,0,0,11652,19045,17242,bbbeffd,0,6,7
213,105,420,608,89,34,65,19985,5016,17105,eeccbaf,1,2,3
214,976,238,978,75,39,77,2742,19986,13149,bcghbbh,0,0,1
215,469,199,340,21,31,66,13134,12361,19791,bdghahe,1,2,4
216,31,334,660,61,0,96,12010,16350,7492,afabhed,1,4,7
217,345,133,789,0,39,80,1810,1324,11094,febeaff,0,0,11
218,450,148,808,18,71,80,16574,10409,15301,cabfagf,1,2,5
219,861,587,729,20,20,35,9173,15756,12252,fefachh,1,7,10
220,381,460,468,65,29,64,16355,10387,10755,gdgcfhg,1,10,11
221,43,380,439,94,0,73,13298,3901,714,ahbfdac,1,0,11
222,433,851,779,0,0,101,15549,14902,15892,dgdefee,0,4,8
223,357,837,505,0,0,94,19432,19359,5042,hfdgccb,1,2,5
224,292,669,676,0,74,18,15675,15877,6267,geadhcg,1,6,8
225,398,231,853,0,0,57,11943,5007,15823,fbddafg,1,0,4
226,614,824,14,26,79,0,9753,15769,585,eceebea,0,0,1
227,767,590,660,69,23,21,6588,5565,5753,hgcgddc,0,9,11
228,413,368,864,60,80,0,8942,6542,17125,fbagdee,1,4,6
229,903,847,521,38,90,0,6060,790,8485,hhedhef,0,5,11
230,262,150,559,94,101,75,5028,6922,5614,gdcaceh,1,0,8
231,485,231,51,76,74,57,6856,10257,17323,gabcfgc,1,7,8
232,144,994,155,0,19,23,8809,14015,5994,hbhfgcb,1,4,5
233,917,206,100,80,0,63,10953,14189,3530,bfcchfg,1,0,8
234,924,318,177,36,0,65,16121,11041,771,hagffah,0,1,2
235,278,421,133,80,75,90,16558,12869,2327,bdfeecc,1,9,10
236,467,518,266,0,0,0,4955,6402,12857,hbadggd,1,9,11
237,976,790,575,68,30,61,13332,17369,19913,bcggahg,1,0,3
238,508,343,14,15,69,0,12866,2916,3995,ahgeffh,1,3,4
239,267,647,263,90,0,65,15203,16965,3615,dgahbga,1,2,4
240,634,765,670,69,55,89,15655,6739,13618,dcdgahh,1,3,4
241,740,780,173,0,63,0,16831,6310,12845,fahdaaa,0,7,10
242,427,657,389,16,0,16,4812,10700,15019,geccadh,1,7,8
243,906,339,202,33,99,38,4210,11275,19340,addedcg,1,5,7
244,400,140,663,78,25,0,14324,8174,18272,ecffdcf,0,0,9
245,105,771,115,0,39,60,14608,10847,3097,cebaahg,1,1,8
246,720,310,700,0,59,21,16533,3290,15962,cedecec,0,8,9
247,110,994,198,0,28,0,12013,19145,14117,ecbhddc,1,2,3
248,352,625,690,73,92,35,19024,19922,17330,ddbccbe,0,0,1
249,241,489,114,0,33,64,16055,14886,14481,cfddhfh,0,4,5
250,76,422,371,15,35,34,14363,16770,10288,ddafheh,1,8,11
251,901,932,43,67,0,38,4540,11331,2690,adgbfah,1,3,6
252,779,656,260,56,67,0,11160,19255,2875,bghhedd,1,3,10
253,394,498,372,72,37,35,3872,15280,13097,fcagfbd,1,6,7
254,571,411,720,0,0,69,11024,15707,4684,hhgaagd,0,8,9
255,695,178,290,23,25,99,11308,16426,721,gdaegef,1,1,10
256,324,328,630,0,69,28,15345,12339,7009,ehdegge,0,0,7
257,652,499,671,31,30,78,12663,1659,10838,cdgagdg,0,1,6
258,812,361,298,27,58,0,13383,1551,3287,eeghhhf,0,4,6
259,762,31,700,96,26,37,9653,5077,17318,ecdaebf,1,8,9
260,320,598,718,97,0,0,8637,6362,18627,abcccgg,0,3,7
261,27,79,60,55,67,18,10357,12781,8049,adbfafb,0,5,11
262,859,525,957,78,0,29,8690,735,15138,bdeefeg,1,9,11
263,308,371,909,101,0,0,17816,9416,19249,fbegebe,0,7,8
264,951,493,725,0,0,62,8250,7461,18948,bafhfab,0,7,9
265,177,952,458,76,0,37,5084,9847,9473,dfhhcfg,1,0,11
266,130,870,73,0,77,0,15796,17988,10907,gdbaahc,1,0,7
267,445,991,733,0,0,70,7627,8780,2569,dcaahba,1,7,9
268,450,691,616,90,38,97,10031,4608,16927,dehbfbd,1,4,7
269,477,157,921,0,24,0,19269,2921,17725,adggbgc,1,2,4
270,424,757,223,75,38,25,1375,18383,18880,eadccab,1,9,11
271,830,505,325,0,63,35,9093,5893,19353,eaafade,0,5,8
272,127,897,274,0,68,22,5747,11522,16942,dddhada,0,5,11
273,435,989,858,0,0,65,6509,14962,17962,bghaeea,1,5,10
274,728,144,63,18,36,69,14440,8826,12230,cabaehh,1,6,8
275,331,276,569,20,28,0,3936,542,1961,ebdhabf,1,10,11
276,823,829,857,70,37,0,15307,13596,11045,cfdebbf,1,1,8
277,949,646,430,0,77,69,12521,3987,7190,chcceee,0,10,11
278,708,575,822,64,80,96,17326,12883,11392,cdhacbe,1,7,11
279,862,550,863,0,19,72,7739,14968,6859,bccgaha,1,3,6
280,998,102,211,65,0,35,16830,6431,8690,ghahabb,0,0,2
281,15,351,367,15,35,0,15351,11884,17735,ghcgfda,1,3,6
282,267,180,304,28,58,93,18806,2762,11461,hhffecb,1,3,5
283,471,180,175,90,0,0,17639,6936,14942,hbfhfch,0,4,9
284,425,606,843,76,101,71,12413,15702,3817,aaccfce,0,4,5
285,370,482,287,24,72,61,15154,3520,19942,aaccega,0,4,9
286,91,590,705,17,0,0,5947,16658,2101,fhffghb,0,7,10
287,909,941,572,66,80,60,3000,13306,12486,hfdeegd,1,8,10
288,288,364,933,100,0,0,11072,3068,18849,hadaabe,1,7,8
289,468,699,841,78,15,0,2613,4616,12433,cfdghaf,1,8,10
290,347,190,349,34,0,24,2078,994,11876,ggfgbge,0,8,11
291,411,422,646,99,0,0,13826,1037,19296,cffdghd,1,1,11
292,695,954,18,16,32,57,12153,4688,18805,feeehdc,1,6,7
293,996,841,409,75,24,0,18018,3252,11730,bcedbcd,0,2,4
294,464,586,630,99,89,24,12301,6054,6999,dabdcad,0,3,10
295,252,742,599,0,0,63,11045,6910,17429,fefgfhb,1,1,11
296,958,908,660,63,89,59,15401,17906,12978,dadchce,1,9,10
297,744,284,402,0,0,18,14605,15304,12944,deechdb,1,2,10
298,503,59,127,0,0,0,12626,2527,4957,acdghgc,1,4,5
299,825,968,60,0,99,21,7670,3777,16239,eacbffe,1,10,11
300,454,690,951,0,101,70,555,6105,10510,gdchehg,1,8,11
301,235,252,319,0,91,0,5303,16421,19583,ccbeeac,0,1,11
302,568,970,515,75,0,60,18591,3950,15284,hegeahh,0,3,5
303,130,237,263,66,67,27,3855,1161,3174,eafcahc,1,2,10
304,782,188,191,73,24,0,7879,14189,12153,hahgcea,1,7,10
305,92,294,353,0,0,0,13517,14880,8190,aheahda,0,3,10
306,722,903,417,0,68,90,11414,907,16855,bgabeca,1,8,10
307,733,993,267,19,66,0,11008,11057,1799,hhabbdb,0,2,7
308,885,157,831,94,0,0,12762,3173,925,fhcaafh,0,4,5
309,832,391,353,30,0,64,4392,16812,7739,cfadaca,0,5,11
310,224,142,490,0,0,101,8595,8171,17773,ffcgehh,1,2,10
311,400,999,864,24,0,62,3987,12900,18787,ccbbahb,0,1,7
312,925,255,624,69,0,39,8656,4082,3164,bcebhae,1,4,7
313,884,904,217,38,17,16,9436,5047,4276,gebhbgc,1,9,10
314,503,849,312,74,21,28,12004,14768,7765,bedfhcd,1,1,6
315,828,871,703,30,67,0,2497,10128,3516,fhfhhda,0,4,8
316,621,561,327,0,0,67,8480,18000,17648,baegedc,1,4,9
317,296,631,932,0,0,31,12962,5503,9104,fbgaebb,1,0,8
318,447,313,242,0,0,0,15968,10314,7738,chhdgeb,1,10,11
319,131,873,313,74,0,0,18074,5467,7960,afedddc,1,0,2
320,570,172,239,0,99,18,16118,11993,628,fbbgfcb,0,7,9
321,586,713,867,63,73,27,3915,12999,19075,bafbbge,1,4,9
322,391,750,544,0,18,0,11441,5092,8910,fbgbgag,0,6,7
323,149,14,446,39,67,89,9697,4809,11300,gdfbegd,1,10,11
324,455,285,547,0,0,0,2671,14900,17864,gheecah,1,0,5
325,911,218,566,22,95,38,6009,11757,13257,beafhea,1,2,9
326,183,82,471,29,39,0,3518,6007,17198,chdgedg,1,5,9
327,228,759,54,89,65,0,4123,18740,10413,bcdeehc,1,1,10
328,488,599,78,99,99,0,603,7663,7302,ebehfah,1,7,9
329,751,484,16,0,32,32,15130,12900,6352,bbdagfg,1,9,11
330,20,898,576,0,0,20,5929,511,3605,gbhdedb,1,8,10
331,626,731,850,38,0,0,10100,15086,12624,beggffc,1,7,9
332,661,810,71,0,0,77,726,12965,15790,gahdbdf,1,6,7
333,972,821,972,0,56,32,6421,18087,3695,gedfcae,1,8,10
334,498,301,932,27,35,0,12050,7490,6717,bgcfcbc,0,4,10
335,144,479,953,39,21,0,9339,18263,3992,bbfdbac,1,6,10
336,360,64,638,62,0,94,19853,3671,697,eaabbad,0,2,11
337,230,171,983,27,31,99,10573,6019,10210,hddfheb,1,0,4
338,123,541,377,90,70,59,15587,7386,12127,agffgac,0,4,7
339,615,42,177,31,0,97,1246,537,9174,hadegbc,1,2,9
340,48,18,767,89,0,66,11194,6435,13748,dbfccce,1,6,7
341,614,399,333,23,0,17,7183,5150,7629,ecgdbce,1,0,7
342,529,602,806,91,0,0,5457,18651,17184,ebdecbe,0,3,8
343,358,806,45,63,39,28,14039,3962,11947,egcggcc,0,1,3
344,337,549,443,66,0,35,1804,13870,17776,fccdgbg,1,3,5
345,151,575,569,0,38,71,628,17262,1871,caecffa,0,7,9
346,168,170,657,77,95,78,9970,614,13975,dcdghgh,0,10,11
347,130,243,323,21,0,67,4358,1270,17292,fabdhda,1,8,11
348,459,87,569,0,72,89,1693,7541,15273,gadfcga,1,3,6
349,521,131,116,0,0,64,6125,18658,5338,eefdbgg,1,1,6
350,885,677,291,64,17,0,10049,11402,18975,eagccfe,1,6,11
351,166,788,702,15,19,61,6898,14923,12874,bccdcbb,0,0,4
352,787,934,420,32,30,0,8572,7080,17368,gabefbe,1,5,10
353,205,895,421,68,0,27,4008,1736,15995,degghcg,1,5,9
354,751,789,546,36,68,94,2954,3039,2598,gedcfch,1,5,6
355,712,116,989,0,92,92,788,19547,19516,cfecdad,1,2,3
356,303,60,994,0,37,0,4004,15925,16919,cfhcedc,1,0,5
357,411,560,263,0,0,27,4902,1859,18486,dbhhdbf,0,6,7
358,341,895,400,22,94,16,2885,2475,18432,fcbbeca,1,1,5
359,278,436,212,26,31,77,3812,2530,16472,bedacbg,1,4,11
360,365,456,812,19,99,35,15247,9844,1818,dfbfddd,0,8,10
361,912,102,245,0,0,80,10730,8130,5500,hdbbhda,0,0,3
362,844,840,457,0,57,73,15221,7517,17263,bcbccaa,0,0,5
363,45,669,507,60,0,77,18869,12889,13257,edcghdd,1,4,5
364,674,768,799,18,0,98,8125,6675,3509,cebegcd,1,6,9
365,246,759,638,30,0,0,1503,15204,6631,bdbeacf,1,5,7
366,189,599,894,70,22,0,7086,8714,4652,hdegcbh,1,6,7
367,103,341,979,0,0,0,1417,10864,4334,cebfcee,0,1,5
368,436,302,282,37,0,0,3374,9372,15229,fhafdbe,1,4,7
369,342,116,709,93,65,0,2592,14968,4909,bdhgagf,1,0,11
370,350,167,961,95,0,0,19983,14235,18741,ebcfbba,1,9,10
371,733,951,762,35,89,0,9568,7862,18742,dgdgfdd,0,8,11
372,239,88,856,0,0,75,8694,14465,9556,fbcgahg,1,3,11
373,940,25,343,0,76,101,9691,9352,18791,dhgccaf,1,6,7
374,945,13,65,70,0,0,1558,8873,19052,cbdchfc,1,5,7
375,482,42,216,76,18,0,19011,9337,12959,gaghcfc,1,0,7
376,272,805,273,68,17,79,9885,7771,1790,fdhffcf,0,4,6
377,580,954,250,0,66,74,11143,11999,1156,edgadda,0,4,10
378,134,991,957,68,0,23,1522,13295,11690,ahbgfhd,1,8,10
379,951,683,645,19,0,0,17803,17764,6685,hhfdbga,1,6,7
380,676,900,466,0,0,0,7830,4055,7163,dbbcfaf,1,10,11
381,583,574,368,0,0,78,11333,10021,11419,hdceagh,1,1,9
382,230,484,448,69,37,39,3863,9605,17771,eaadcef,1,5,10
383,739,90,894,0,0,0,12981,8732,11980,ghdcfea,1,2,6
384,162,270,852,27,0,0,3714,7437,18672,habcefb,1,5,10
385,559,554,91,32,80,0,1442,13168,19610,ggegdgh,0,1,9
386,648,189,887,69,30,0,8299,13152,2359,ffdbccg,1,5,6
387,403,41,21,23,0,19,2297,4949,5555,hcfcfdf,0,4,9
388,92,707,607,96,0,21,11172,16542,9322,befgcah,1,3,10
389,819,689,630,92,0,0,9651,15307,5610,cbafhfc,1,2,10
390,31,247,414,60,0,0,3692,9704,8224,bheeecf,1,0,2
